cl	cluster_id	cluster_label	cluster_color	cluster_pal
383	359	0359 L5 ET CTX Glut_2	#CC1F41	#7ACCA9
384	360	0360 L5 ET CTX Glut_2	#7ACCA9	#00A3FF
389	361	0361 L5 ET CTX Glut_2	#00A3FF	#e809bf
390	362	0362 L5 ET CTX Glut_2	#2636FF	#a2e560
391	363	0363 L5 ET CTX Glut_2	#FFC773	#c69539
393	364	0364 L5 ET CTX Glut_2	#95992E	#b4c918
399	365	0365 L5 ET CTX Glut_3	#268EFF	#4aefc9
400	366	0366 L5 ET CTX Glut_3	#6ACC5C	#13b280
404	367	0367 L5 ET CTX Glut_3	#990009	#661F59
405	368	0368 L5 ET CTX Glut_3	#9A5CCC	#9A5CCC
406	369	0369 L5 ET CTX Glut_3	#5CCC87	#0F6664
377	370	0370 L5 ET CTX Glut_4	#661F59	#CC9E00
394	371	0371 L5 ET CTX Glut_4	#0F6664	#CC0012
395	372	0372 L5 ET CTX Glut_4	#CC9E00	#840002
396	373	0373 L5 ET CTX Glut_4	#CC0012	#38e2da
397	374	0374 L5 ET CTX Glut_4	#FF4D80	#c833d6
379	375	0375 L5 ET CTX Glut_5	#661F27	#6c73f7
380	376	0376 L5 ET CTX Glut_5	#992E77	#BBCC5C
382	377	0377 L5 ET CTX Glut_5	#BBCC5C	#203d9b
385	378	0378 L5 ET CTX Glut_5	#5CCC99	#36c4a1
392	379	0379 L5 ET CTX Glut_6	#AF1FCC	#991633
407	380	0380 L5 ET CTX Glut_6	#66603D	#FF7381
410	381	0381 L5 ET CTX Glut_6	#FF4DAC	#5abc29
411	382	0382 L5 ET CTX Glut_6	#883DCC	#8413f4
337	383	0383 SUB-ProS Glut_1	#66423D	#FF8500
338	384	0384 SUB-ProS Glut_1	#5C9FCC	#f76cd2
340	385	0385 SUB-ProS Glut_1	#FF7381	#85f237
341	386	0386 SUB-ProS Glut_1	#4DCDFF	#6a3bd6
372	387	0387 SUB-ProS Glut_1	#E300FF	#4d10bc
333	388	0388 SUB-ProS Glut_2	#FF8500	#ce02a9
335	389	0389 SUB-ProS Glut_2	#FF2683	#e5aa16
336	390	0390 SUB-ProS Glut_2	#332E66	#50e56e
365	391	0391 SUB-ProS Glut_2	#907ACC	#ed6ae8
373	392	0392 SUB-ProS Glut_2	#3D46CC	#b634d3
374	393	0393 SUB-ProS Glut_2	#09FF00	#f26096
334	394	0394 SUB-ProS Glut_3	#5C8E99	#64e094
339	395	0395 SUB-ProS Glut_3	#007599	#da09ed
371	396	0396 SUB-ProS Glut_3	#006099	#5C8E99
375	397	0397 SUB-ProS Glut_3	#441799	#cea118
